Time,env_temperature_(°C),env_humidity_(%),pressure_(hPa),soil_moisture_(%),plants_temp_(°C),plants_hum_(%),light_intensity_(lux),ir_(raw),current_(mA),voltage_(V),power_(W),label_1,label_2,label_3
2026-09-11 08:01:52,19.2,62.81,1018.78,77.76,17.49,72.1,6199.8,945.0,6.4,15.24,0.1,LOW_LIGHT: 0.98,OK: 0.01,EXCESS_WATER: 0.00
2026-09-11 08:21:56,19.18,60.37,1018.94,77.74,17.88,69.91,8916.6,1910.0,14.4,15.25,0.22,LOW_LIGHT: 0.96,NOT_ABLE_TO_WATER: 0.03,OK: 0.01
2026-09-11 08:42:00,19.24,58.97,1019.11,77.67,18.22,68.32,14290.2,3757.0,28.72,15.26,0.44,OK: 0.94,LOW_LIGHT: 0.05,LOW_TEMP_ALERT: 0.01
2026-09-11 09:02:22,19.35,58.75,1019.29,77.62,18.5,68.16,12409.2,1989.0,19.12,15.25,0.29,OK: 0.90,LOW_LIGHT: 0.07,LOW_TEMP_ALERT: 0.01
2026-09-11 09:22:26,19.55,56.94,1019.42,77.52,19.01,66.21,13593.6,2143.0,21.72,15.25,0.33,OK: 0.93,LOW_LIGHT: 0.06,LOW_TEMP_ALERT: 0.01
2026-09-11 09:43:00,19.93,55.13,1019.57,77.0,19.76,64.18,33780.0,11346.0,31.12,20.68,0.64,OK: 0.95,LOW_LIGHT: 0.04,LOW_TEMP_ALERT: 0.01
2026-09-11 10:03:05,20.38,53.85,1019.7,77.03,20.28,63.02,16296.0,3034.0,1.72,19.5,0.03,OK: 0.94,LOW_LIGHT: 0.04,LOW_TEMP_ALERT: 0.01
2026-09-11 10:23:38,20.98,52.58,1019.87,76.87,21.08,62.5,30253.2,14065.0,1.6,19.96,0.03,OK: 0.95,LOW_LIGHT: 0.04,LOW_TEMP_ALERT: 0.01
2026-09-11 10:43:43,21.78,50.7,1020.02,76.81,22.03,62.03,44705.4,21051.0,10.72,20.66,0.22,OK: 0.95,LOW_LIGHT: 0.04,LOW_TEMP_ALERT: 0.01
2026-09-11 11:03:48,22.78,48.87,1020.13,76.47,22.98,61.81,61778.4,28438.0,47.12,20.69,0.98,OK: 0.98,EXCESS_WATER: 0.01,LOW_TEMP_ALERT: 0.01
2026-09-11 11:24:10,23.97,46.78,1020.25,77.83,24.01,61.12,78782.4,33224.0,124.8,20.73,2.59,OK: 0.98,LOW_TEMP_ALERT: 0.01,EXCESS_WATER: 0.01
2026-09-11 11:44:14,25.28,47.53,1020.32,77.4,24.88,64.03,96221.4,39020.0,154.92,20.79,3.22,OK: 0.99,LOW_TEMP_ALERT: 0.01,EXCESS_WATER: 0.00
2026-09-11 12:04:18,26.47,44.46,1020.32,77.25,25.83,60.66,31970.4,7288.0,61.8,15.3,0.95,OK: 1.00,EXCESS_WATER: 0.00,FUNGI_ALERT_EXCESS_WATER: 0.00
2026-09-11 12:24:53,27.56,42.21,1020.28,77.08,26.51,57.74,143110.8,60203.0,228.92,20.92,4.79,OK: 0.99,NIGHT_OK: 0.01,EXCESS_WATER: 0.00
2026-09-11 12:44:58,28.65,40.4,1020.23,76.83,27.3,56.35,157285.8,62197.0,231.2,20.89,4.83,OK: 1.00,EXCESS_WATER: 0.00,FUNGI_ALERT_EXCESS_WATER: 0.00
2026-09-11 13:05:13,29.59,39.83,1020.17,76.79,27.44,56.15,157285.8,63580.0,254.32,20.9,5.32,OK: 1.00,EXCESS_WATER: 0.00,FUNGI_ALERT_EXCESS_WATER: 0.00
2026-09-11 13:25:16,29.88,42.23,1020.03,76.87,27.33,55.67,51003.0,12825.0,1.72,20.61,0.04,OK: 0.95,LOW_LIGHT: 0.04,LOW_TEMP_ALERT: 0.01
2026-09-11 13:45:20,30.48,39.7,1019.96,76.67,27.73,54.99,157285.8,74596.0,283.72,20.9,5.93,OK: 1.00,EXCESS_WATER: 0.00,FUNGI_ALERT_EXCESS_WATER: 0.00
2026-09-11 14:03:48,31.21,38.02,1019.83,76.41,27.99,55.11,157285.8,74606.0,278.12,20.91,5.82,OK: 1.00,EXCESS_WATER: 0.00,FUNGI_ALERT_EXCESS_WATER: 0.00
2026-09-11 14:04:25,31.62,38.56,1019.73,76.34,28.0,55.22,157285.8,74520.0,278.2,20.91,5.82,OK: 1.00,EXCESS_WATER: 0.00,FUNGI_ALERT_EXCESS_WATER: 0.00
2026-09-11 14:05:21,32.05,38.08,1019.65,76.31,28.02,55.4,157285.8,74131.0,276.6,20.91,5.78,OK: 1.00,EXCESS_WATER: 0.00,FUNGI_ALERT_EXCESS_WATER: 0.00
2026-09-11 14:24:29,32.58,36.47,1019.55,76.02,28.75,53.44,157285.8,80664.0,273.0,20.92,5.71,OK: 0.99,WATER: 0.01,EXCESS_WATER: 0.00
2026-09-11 14:25:23,32.47,39.46,1019.47,75.78,28.77,53.47,157285.8,80633.0,283.0,20.92,5.92,OK: 1.00,EXCESS_WATER: 0.00,FUNGI_ALERT_EXCESS_WATER: 0.00
2026-09-11 14:44:31,32.61,37.97,1019.37,76.03,29.1,50.93,157285.8,85564.0,293.8,20.94,6.15,OK: 0.99,WATER: 0.01,EXCESS_WATER: 0.00
2026-09-11 14:45:26,32.65,37.82,1019.3,76.18,29.09,50.93,157285.8,85968.0,293.52,20.94,6.15,OK: 0.99,WATER: 0.01,EXCESS_WATER: 0.00
2026-09-11 15:04:35,33.02,37.18,1019.2,75.86,29.56,52.03,157285.8,88782.0,286.52,20.94,6.0,OK: 0.98,WATER: 0.01,VENTILATE: 0.01
2026-09-11 15:05:29,33.21,38.05,1019.15,75.84,29.63,52.38,157285.8,88981.0,289.32,20.94,6.06,OK: 0.99,WATER: 0.01,EXCESS_WATER: 0.00
2026-09-11 15:25:11,33.61,36.14,1019.09,73.98,31.24,49.4,157285.8,92967.0,262.6,20.94,5.5,OK: 0.99,LOW_LIGHT: 0.01,EXCESS_WATER: 0.00
2026-09-11 15:26:05,33.88,36.48,1019.05,74.03,31.33,48.73,157285.8,97740.0,280.6,20.95,5.88,OK: 0.99,LOW_LIGHT: 0.01,EXCESS_WATER: 0.00
2026-09-11 15:45:15,33.58,39.78,1018.96,74.78,32.14,46.11,157285.8,54523.0,146.4,20.85,3.05,OK: 0.99,LOW_LIGHT: 0.01,EXCESS_WATER: 0.00
2026-09-11 15:46:12,33.33,40.18,1018.88,74.71,32.07,46.59,157285.8,56794.0,172.12,20.87,3.59,OK: 0.99,LOW_LIGHT: 0.01,EXCESS_WATER: 0.00
2026-09-11 16:05:19,32.99,42.04,1018.82,75.52,31.05,48.07,157285.8,71602.0,288.6,20.96,6.05,OK: 0.99,LOW_LIGHT: 0.01,VENTILATE: 0.01
2026-09-11 16:06:21,32.69,41.71,1018.77,75.43,30.99,49.15,157285.8,49445.0,176.92,20.88,3.69,OK: 0.99,LOW_LIGHT: 0.01,EXCESS_WATER: 0.00
2026-09-11 16:27:17,32.92,38.49,1018.78,75.56,nan,nan,157285.8,83954.0,252.0,20.92,5.27,OK: 1.00,EXCESS_WATER: 0.00,FUNGI_ALERT_EXCESS_WATER: 0.00
2026-09-11 16:27:19,33.1,38.51,1018.78,75.52,nan,nan,157285.8,82936.0,251.2,20.92,5.26,OK: 1.00,EXCESS_WATER: 0.00,FUNGI_ALERT_EXCESS_WATER: 0.00
2026-09-11 16:47:46,33.75,41.76,1018.73,76.0,30.81,48.52,126742.2,40092.0,139.0,20.85,2.9,OK: 0.98,LOW_LIGHT: 0.01,LOW_TEMP_ALERT: 0.01
2026-09-11 17:07:50,33.35,41.87,1018.72,74.98,30.97,50.23,157285.8,71371.0,289.32,20.96,6.06,OK: 0.99,LOW_LIGHT: 0.01,EXCESS_WATER: 0.00
2026-09-11 17:17:41,32.98,42.65,1018.72,74.56,31.02,49.98,157285.8,67072.0,248.2,20.94,5.2,OK: 0.99,LOW_LIGHT: 0.01,EXCESS_WATER: 0.00
2026-09-11 17:29:28,32.84,41.83,1018.7,74.15,31.5,48.46,157285.8,82800.0,277.12,20.98,5.81,OK: 0.99,LOW_LIGHT: 0.01,WATER: 0.01
2026-09-11 17:34:17,32.81,40.59,1018.69,74.07,31.94,48.11,157285.8,79395.0,255.72,20.96,5.36,OK: 0.99,LOW_LIGHT: 0.01,EXCESS_WATER: 0.00
2026-09-11 17:47:36,32.56,40.38,1018.69,74.85,32.34,44.58,157285.8,70852.0,243.6,20.94,5.1,OK: 0.99,LOW_LIGHT: 0.01,EXCESS_WATER: 0.00
2026-09-11 18:07:40,32.51,38.57,1018.68,74.83,32.36,44.25,157285.8,63899.0,225.8,20.94,4.73,OK: 0.99,LOW_LIGHT: 0.01,EXCESS_WATER: 0.00
2026-09-11 18:08:03,32.5,38.84,1018.69,74.55,32.36,44.27,157285.8,64011.0,226.0,20.94,4.73,OK: 0.99,LOW_LIGHT: 0.01,EXCESS_WATER: 0.00
2026-09-11 18:28:07,32.29,39.44,1018.71,75.03,31.01,45.66,146088.0,57830.0,202.72,20.92,4.24,OK: 0.99,LOW_LIGHT: 0.01,EXCESS_WATER: 0.00
2026-09-11 18:48:11,31.79,43.8,1018.74,76.06,29.19,50.7,113249.4,46417.0,192.12,20.89,4.01,OK: 1.00,EXCESS_WATER: 0.00,FUNGI_ALERT_EXCESS_WATER: 0.00
