date_time,env_temperature_(°C),env_humidity_(%),pressure_(hPa),soil_moisture_(%),plants_temp_(°C),plants_hum_(%),light_intensity_(lux),ir_(raw),current_(mA),voltage_(V),power_(W)
3/09/2026 14:03:54,"36,69","39,72","1021,2","72,94","31,5","56,4","157285,8",70771,"255,8","20,53","5,25"
3/09/2026 14:11:30,"36,59","40,88","1021,2","80,94","31,81","57,33","157285,8",73294,"244,92","20,91","5,12"
3/09/2026 14:11:54,"36,51","40,68","1021,2","72,95","31,79","57,05","157285,8",73380,"249,32","20,53","5,12"
3/09/2026 20:12:39,"34,88","61,16",1021,"85,61","28,98","69,99","2981,4",1153,"1,52","14,92","0,02"
3/09/2026 20:16:16,"33,59","61,97","1020,85","85,47","28,81","70,67","2187,6",828,"4,8","11,06","0,05"
3/09/2026 20:36:50,"32,5","63,86","1020,75","85,53","28,24","72,91","160,2",96,"0,32","4,12",0
3/09/2026 20:57:02,"31,61","63,78","1020,72","85,61","27,93","73,21","2,4",1,0,"0,69",0
3/09/2026 21:17:09,"30,92","64,44","1020,76","85,71","27,75","74,06",0,0,"-0,48","0,32",0
3/09/2026 21:37:23,"30,44",64,"1020,87","85,76","27,64","74,86",0,0,"-0,4","0,32",0
3/09/2026 21:57:28,"30,06","63,72",1021,"85,8","27,47","74,38",0,0,"-0,48","0,32",0
3/09/2026 22:17:32,"29,71","64,12","1021,1","85,97","27,38","74,84",0,0,"-0,28","0,32",0
3/09/2026 22:37:36,"29,47","63,42","1021,19","86,08","27,26","74,66",0,0,"-0,08","0,32",0
3/09/2026 22:57:39,"29,19","64,89","1021,26","86,24","26,91","75,82",0,0,0,"0,32",0
3/09/2026 23:19:05,"28,91","64,83","1021,3","86,49","26,7","76,2",0,0,"-0,28","0,32",0
3/09/2026 23:39:09,"28,6","65,93","1021,32","86,41","26,48","76,19",0,0,"-0,4","0,32",0
3/09/2026 23:59:24,"28,32","67,13","1021,31","86,65","26,3","77,37",0,0,"-0,4","0,33",0
4/09/2026 0:19:58,"28,05","68,37","1021,28","86,63","26,11","78,73",0,0,"-0,4","0,33",0
4/09/2026 0:40:02,"27,86","68,41","1021,29","86,61","26,01","79,25",0,0,"-0,08","0,33",0
4/09/2026 1:00:05,"27,7","68,48","1021,29","86,74","25,98","79,19",0,0,"-0,28","0,33",0
4/09/2026 1:20:09,"27,59","68,25","1021,27","86,71","25,91","79,11",0,0,"-0,2","0,33",0
4/09/2026 1:40:13,"27,52","67,79","1021,26","86,79","25,8","79,28",0,0,"-0,28","0,34",0
4/09/2026 2:00:17,"27,29","69,07","1021,22","86,88","25,63","78,78",0,0,"-0,2","0,34",0
4/09/2026 2:20:21,"27,03","70,19","1021,18","87,22","25,04","80,52",0,0,"-0,4","0,34",0
4/09/2026 2:40:25,"26,74","71,8","1021,11","87,22","24,85","81,82",0,0,"-0,48","0,34",0
4/09/2026 3:00:28,"26,52","72,38","1021,03","87,18","24,73","82,79",0,0,"-0,2","0,34",0
4/09/2026 3:20:33,"26,25","73,76","1020,95","87,4","24,55","83,68",0,0,"-0,08","0,34",0
4/09/2026 3:40:37,"26,1","74,04","1020,84","87,4","24,52","84,42",0,0,"-0,28","0,34",0
4/09/2026 4:00:41,"26,04","72,93","1020,73","87,32","24,57","84,11",0,0,"-0,6","0,34",0
4/09/2026 4:20:45,"25,81","74,62","1020,61","87,47","24,23","84,33",0,0,"-0,8","0,35",0
4/09/2026 4:40:49,"25,68","74,41","1020,5","87,61","24,12","85,08",0,0,"-0,2","0,35",0
4/09/2026 5:00:53,"25,61","73,86","1020,37","87,61","24,28","84,28",0,0,"-0,6","0,35",0
4/09/2026 5:20:56,"25,53","73,88","1020,26","87,64","24,12","84,32",0,0,"-0,08","0,36",0
4/09/2026 5:41:01,"25,28","75,67","1020,13","87,81","23,74","84,8",0,0,"-0,48","0,36",0
4/09/2026 6:01:05,"25,1","75,64","1020,03","87,81","23,54","85,53",0,0,"-0,2","0,36",0
4/09/2026 6:21:09,"25,11","73,33","1019,94","87,83","23,97","83,73",0,0,"-0,6","0,36",0
4/09/2026 6:41:13,"25,13","72,81","1019,83","87,91","24,01","83,34","0,6",0,"-0,2","0,44",0
4/09/2026 7:01:17,"25,01","74,19","1019,75","87,84","23,75","83,64","27,6",12,0,"3,32",0
4/09/2026 7:21:20,"24,87","74,82","1019,66","88,21","23,44","84,84","964,8",243,"1,92","8,06","0,02"
4/09/2026 7:41:24,"24,81","74,21","1019,61","87,99","23,51","84,33",4074,723,"1,92","15,26","0,03"
4/09/2026 8:01:28,"24,85","72,43","1019,61","88,03","23,78","82,95","7327,2",1075,"1,72","16,93","0,03"
4/09/2026 8:21:50,"24,95","71,26","1019,63","87,87","23,99","81,66","9757,8",1352,"11,72","15,26","0,18"
4/09/2026 8:41:53,"25,07","70,27","1019,67","87,85","24,22","80,38",11394,1535,"14,6","15,27","0,22"
4/09/2026 9:01:57,"25,23","69,69","1019,68","87,8","24,44","80,2","12646,8",1696,"17,32","15,27","0,26"
4/09/2026 9:22:01,"25,51","67,42","1019,67","87,62","25,07","77,81","13900,2",2036,"20,52","15,27","0,31"
4/09/2026 9:42:05,"25,91","65,13","1019,66","87,51","25,62","76,05","15258,6",2655,"24,6","15,28","0,38"
4/09/2026 10:02:09,"26,39","62,14","1019,66","87,42","26,24","73,5",16386,3117,"28,52","15,28","0,44"
4/09/2026 10:22:14,"27,09","57,63","1019,67","87,26","26,94","70,21","31412,4",14901,"38,4","15,28","0,59"
4/09/2026 10:42:17,28,"53,55","1019,68","87,08","27,55","68,25",45486,22236,"22,2","20,7","0,46"
4/09/2026 11:02:21,"29,04","50,13","1019,69","86,96","28,61","65,35","61216,2",28511,"59,92","20,73","1,24"
4/09/2026 11:22:24,"30,16","46,87","1019,69","86,72","29,22","63,85","79258,2",34986,"90,8","20,75","1,88"
4/09/2026 11:42:28,"31,25","48,81","1019,69","86,39","30,18","65,8",96891,41210,"121,72","20,77","2,53"
4/09/2026 12:02:33,"32,25","47,9","1019,7","86,31","30,84","64,69","114307,8",48260,"155,4","20,81","3,23"
4/09/2026 12:22:37,"33,01","48,92","1019,68","86,2","31,11","64,92","138269,41",54436,"183,8","20,84","3,83"
4/09/2026 12:42:40,"33,58","48,52","1019,61","86,23","31,1","65,12","157285,8",59090,"204,32","20,86","4,26"
4/09/2026 13:02:44,"34,26","46,48","1019,53","86,3","31,01","65,84","157285,8",62291,211,"20,86","4,4"
4/09/2026 13:22:48,"34,81","46,64","1019,46","86,02","31,07","66,38","157285,8",68833,"227,72","20,88","4,75"
4/09/2026 13:43:23,"35,27","46,36","1019,33","85,96","31,35","65,43","157285,8",73455,"240,6","20,9","5,03"
4/09/2026 14:03:27,"35,87",44,"1019,2","85,65","32,15","63,35","157285,8",70851,"232,2","20,9","4,85"
4/09/2026 14:23:31,"36,22","44,58","1019,04","85,8","32,54","62,02","157285,8",78249,"240,52","20,91","5,03"
4/09/2026 14:43:38,"36,54","44,35","1018,88","85,72","32,82","61,63","157285,8",81724,"250,6","20,92","5,24"
4/09/2026 15:03:43,"36,56","46,33","1018,71","84,85","33,4","60,17","157285,8",90562,"265,32","20,95","5,56"
4/09/2026 15:23:48,"36,69","45,55","1018,55","87,2","34,5","57,11","157285,8",91693,"263,32","20,96","5,52"
4/09/2026 15:44:08,"36,53","47,66","1018,36","85,53","34,75","56,56","157285,8",77878,"274,32","20,98","5,76"
4/09/2026 16:04:12,"36,6","44,93","1018,18","85,51","35,38","53,92","157285,8",80240,"251,4","20,97","5,27"
4/09/2026 16:24:16,"36,55","45,53","1018,01","85,77","34,75","54,96","157285,8",84224,"257,92","20,98","5,41"
4/09/2026 16:44:20,"36,4","46,04","1017,89","85,78","34,54","54,31","157285,8",82980,252,"20,98","5,29"
4/09/2026 17:04:24,"36,44","44,11","1017,78","85,08","34,94","53,09","157285,8",78911,"1,92","22,04","0,04"
4/09/2026 17:24:29,"36,44","42,55","1017,69","85,29","35,48",50,"157285,8",74569,2,"22,04","0,04"
4/09/2026 17:44:33,"36,25","44,1","1017,64","88,22","35,36","50,18","157285,8",74472,"222,4","20,94","4,66"
4/09/2026 18:04:36,"35,93","46,31","1017,6","85,89","35,29","50,6","157285,8",64784,"1,72","22,07","0,04"
4/09/2026 18:24:40,"35,62","49,14","1017,57","85,84","34,56","54,56","157285,8",57658,"190,2","20,91","3,98"
4/09/2026 18:44:44,"35,24","51,58","1017,54","86,35",33,"59,81",120009,49231,2,"21,95","0,04"
4/09/2026 19:04:55,"34,68","55,33","1017,58","86,81","31,5","65,12",87915,40428,"1,8","21,86","0,04"
4/09/2026 19:24:58,"33,92","59,7","1017,67","87,21","30,56","68,77","52196,4",30208,"72,32","20,8","1,5"
4/09/2026 19:45:02,"33,32","60,57","1017,81","87,53","30,04","71,1","21253,8",16749,"1,8","20,66","0,04"
4/09/2026 20:05:38,"32,59","63,76","1017,95","87,79","29,4","73,07",3180,851,"6,12","11,06","0,07"
4/09/2026 20:25:41,"31,95","66,1","1018,12","87,78","28,82","75,87","464,4",139,"0,92","4,12",0
4/09/2026 20:46:15,"31,37","67,91","1018,35","87,92","28,27","78,88","9,6",2,"-0,28","1,17",0
4/09/2026 21:06:30,"30,88","69,18","1018,61","88,14","27,92","80,54",0,0,"-0,2","0,34",0
4/09/2026 21:26:49,"30,4","71,17","1018,88","88,2","27,69","81,86",0,0,"-0,28","0,32",0
4/09/2026 21:46:52,"30,02","72,06","1019,07","88,38","27,55","83,01",0,0,"-0,28","0,32",0
4/09/2026 22:06:56,"29,67","72,38","1019,23","88,46","27,31","83,7",0,0,"-0,2","0,32",0
4/09/2026 22:27:03,"29,42","71,68","1019,34","88,53","27,17","83,35",0,0,"-0,48","0,32",0
4/09/2026 22:47:08,"29,2","70,87","1019,44","88,32","27,14","82,17",0,0,"-0,2","0,32",0
4/09/2026 23:07:20,"29,03","69,87","1019,49","88,52","27,1","81,24",0,0,"-0,08","0,32",0
4/09/2026 23:27:32,"28,79","69,35","1019,53","88,62","26,86","79,98",0,0,"-0,2","0,32",0
4/09/2026 23:47:36,"28,47","66,77","1019,51","88,78","26,32","76,98",0,0,"-0,2","0,33",0
5/09/2026 0:07:39,"28,26","64,36","1019,52","88,77","26,07","75,41",0,0,"-0,28","0,33",0
5/09/2026 0:27:48,"28,06","62,93","1019,52","88,78","26,01","73,7",0,0,"-0,28","0,33",0
5/09/2026 0:47:53,"27,77","63,72","1019,5","88,89","25,72","74,22",0,0,"-0,08","0,33",0
5/09/2026 1:07:57,"27,52","65,41","1019,5","89,07","25,5","75,51",0,0,"-0,2","0,33",0
5/09/2026 1:28:00,"27,35","68,05","1019,5","88,85","25,58","78,86",0,0,"-0,28","0,34",0
5/09/2026 1:48:04,"27,23","69,54","1019,48","88,96","25,65","79,97",0,0,"-0,48","0,33",0
5/09/2026 2:08:38,"27,1","71,12","1019,43","89,05","25,56","81,46",0,0,"-0,28","0,34",0
5/09/2026 2:28:42,27,"71,02","1019,4","89,08","25,45","81,48",0,0,"-0,08","0,34",0
5/09/2026 2:49:00,"26,83","71,67","1019,36","89,07","25,25","81,75",0,0,"-0,48","0,34",0
5/09/2026 3:09:07,"26,65","72,62","1019,31","89,06","24,99","82,77",0,0,"-0,2","0,34",0
5/09/2026 3:29:10,"26,5","72,87","1019,26","89,14","24,84","83,31",0,0,"-0,2","0,34",0
5/09/2026 3:49:14,"26,33","73,75","1019,22","89,25","24,7","83,79",0,0,"-0,48","0,34",0
5/09/2026 4:09:17,"26,14","72,77","1019,19","89,34","24,57","82,47",0,0,"-0,6","0,34",0
5/09/2026 4:29:20,"26,02","72,32","1019,17","89,36","24,52","82,47",0,0,"-0,28","0,34",0
5/09/2026 4:49:23,"25,87","72,76","1019,14","89,37","24,44","82,17",0,0,"-0,08","0,34",0
5/09/2026 5:09:38,"25,73","71,9","1019,11","89,37","24,18","81,92",0,0,"-0,08","0,34",0
5/09/2026 5:29:42,"25,67","70,83","1019,12","89,49","24,19","81,23",0,0,"-0,4","0,35",0
5/09/2026 5:49:45,"25,63","69,78","1019,16","89,53","24,23","80,5",0,0,"-0,2","0,35",0
5/09/2026 6:09:48,"25,56","69,41","1019,21","89,37","24,11","79,79",0,0,"-0,28","0,35",0
5/09/2026 6:29:52,"25,47","69,55","1019,27","89,5","23,99","79,69",0,0,"-0,6","0,36",0
5/09/2026 6:49:55,"25,41","68,72","1019,36","89,58","23,98","79,14","1,2",0,"-0,28","0,64",0
5/09/2026 7:09:58,"25,32","68,58","1019,43","89,51","23,91","78,31","121,2",42,"-0,2","4,14",0
5/09/2026 7:30:03,"25,18","69,25","1019,52","89,62","23,68","79,11",1617,346,"2,2","11,04","0,02"
5/09/2026 7:50:06,"25,11","68,52","1019,62","89,57","23,7","78,76","5018,4",1091,"4,4","15,26","0,07"
5/09/2026 8:10:10,"25,1","67,82","1019,73","89,51","23,88","77,74",8643,1780,"11,6","15,26","0,18"
5/09/2026 8:30:14,"25,18","66,36","1019,85","89,44","24,2","76,23","11680,2",2377,"18,2","15,27","0,28"
5/09/2026 8:50:17,"25,41","63,61","1019,95","89,3","24,68","74,09","14033,4",2857,"22,72","15,28","0,35"
5/09/2026 9:10:20,"25,76","61,68","1020,11","89,12","25,31","72,01","16067,4",3321,"27,12","15,28","0,41"
5/09/2026 9:30:24,"26,16","58,99","1020,23","88,99","25,98","69,05","18357,6",4163,"33,4","15,28","0,51"
5/09/2026 9:50:27,"26,68","55,98","1020,34","88,84","26,69","65,86","23080,2",5997,"46,72","15,28","0,71"
5/09/2026 10:10:40,"27,44","51,44","1020,46","88,54","27,62","62,49","26755,8",7756,"58,6","15,29","0,9"
5/09/2026 10:30:44,"28,38","46,75","1020,56","88,38","28,44","58,77","41944,8",18051,"7,32","20,68","0,15"
5/09/2026 10:50:47,"29,4","43,23","1020,66","88,23","29,05","56,06","43256,4",16512,"6,4","20,69","0,13"
5/09/2026 11:10:51,"30,7","39,17","1020,76","87,87","29,98","54,28",68442,30464,"60,4","20,73","1,25"
5/09/2026 11:30:54,"31,91","36,82","1020,82","87,56","31,38","49,99","86641,2",35940,"91,92","20,75","1,91"
5/09/2026 11:50:58,"33,01","34,66","1020,88","87,39","32,27","46,91","90672,6",35658,"84,92","20,76","1,76"
5/09/2026 12:11:01,"33,98","32,5","1020,94","87,39","32,39","46,18","123247,8",47790,"150,72","20,8","3,13"
5/09/2026 12:31:04,"34,86","30,1","1020,96","87,16","33,18","42,11","157285,8",62078,"183,8","20,83","3,83"
5/09/2026 12:51:08,"35,74","29,55","1020,95","87,26","32,98","44,43","157285,8",61004,"187,32","20,84","3,9"
5/09/2026 13:11:12,"36,77","26,46","1020,96","86,92","33,65","40,46","157285,8",63977,"170,32","20,83","3,55"
5/09/2026 13:31:15,"37,66","25,17","1020,94","86,51","34,1","39,44","157285,8",69005,173,"20,84","3,6"
5/09/2026 13:51:18,"38,36","22,21","1020,91","86,58","34,6","33,12","157285,8",73450,"189,2","20,86","3,95"
5/09/2026 14:11:22,"38,91","21,49","1020,83","86,48","34,94","33,62","157285,8",71680,"193,8","20,86","4,04"
5/09/2026 14:31:36,"39,44","22,36","1020,78","86,25","35,26","35,03","157285,8",81017,"185,52","20,86","3,87"
5/09/2026 14:51:39,"39,67","23,96","1020,69","85,72","35,57","36,22","157285,8",81844,"192,72","20,88","4,02"
5/09/2026 15:12:04,"39,75","26,21","1020,63","85,44","36,45","37,06","157285,8",90578,"196,52","20,88","4,1"
5/09/2026 15:32:07,"39,81","27,41","1020,57","85,81","37,33","36,93","157285,8",84687,"190,92","20,88","3,99"
5/09/2026 15:52:10,"39,71","31,58","1020,5","86,03","36,94","40,61","157285,8",76465,"199,92","20,9","4,18"
5/09/2026 16:12:14,"39,56","34,77","1020,46","86,06","36,85","45,1","157285,8",78593,"194,8","20,9","4,07"
5/09/2026 16:32:18,"39,38","37,64","1020,4","86,13","36,66","46,97","157285,8",80718,"196,92","20,9","4,12"
5/09/2026 16:52:21,"39,05","39,95","1020,32","86,29","36,31","48,71","157285,8",76439,"197,32","20,91","4,13"
5/09/2026 17:12:24,"38,59","44,18","1020,23","85,86","36,46","51,63","157285,8",71765,"195,8","20,92","4,1"
5/09/2026 17:32:29,"38,07","43,79","1020,12","85,63","36,48","49,9","157285,8",69294,"189,92","20,92","3,97"
5/09/2026 17:52:33,"37,83","44,46","1020,04","86,21","36,38","52,66","157285,8",64326,"171,32","20,9","3,58"
5/09/2026 18:12:36,"37,33","46,02","1020,01","88,81","36,15","50,67",150432,53389,"159,6","20,9","3,34"
5/09/2026 18:32:40,"36,8","47,97","1019,95","86,33","34,56","54,93","122155,2",48199,138,"20,87","2,88"
5/09/2026 18:52:44,"36,09","52,57","1019,92","86,99","33,28","60,78","90789,6",38690,"106,32","20,84","2,22"
5/09/2026 19:12:47,"35,45","53,25","1019,9","87,47","32,23","62,92","60329,4",29418,63,"20,8","1,31"
5/09/2026 19:32:51,"34,65","56,91","1019,93","87,58","31,24","65,23","25711,8",12949,"1,92","20,43","0,04"
5/09/2026 19:52:55,"33,81","61,57","1019,95","88,02","30,22","70,98",4977,1561,"4,6","15,3","0,07"
5/09/2026 20:13:07,"33,01","64,05",1020,"88,36","29,49","74,2",1215,251,"1,52","10,21","0,02"
5/09/2026 20:33:40,"32,34","66,97","1020,09","88,36","28,86","78,41","87,6",28,"-0,2","4,24",0
5/09/2026 20:53:44,"31,69","69,7","1020,18","88,43","28,57","80,23","1,2",0,"-0,4","0,46",0
5/09/2026 21:13:47,"31,17","70,6","1020,28","88,45","28,26","81,42",0,0,"-0,4","0,32",0
5/09/2026 21:33:51,"30,7","72,06","1020,39","88,46","28,04","82,76",0,0,"-0,28","0,32",0
5/09/2026 21:53:55,"30,28","73,12","1020,46","88,57","27,91","83,34",0,0,"-0,48","0,32",0
5/09/2026 22:13:58,"29,99","72,42","1020,57","88,62","27,68","84,25",0,0,"-0,2","0,32",0
5/09/2026 22:34:01,"29,71","72,87","1020,66","88,81","27,54","84,16",0,0,"-0,28","0,32",0
5/09/2026 22:54:05,"29,41","74,32","1020,75","88,87","27,23","85,21",0,0,"-0,4","0,32",0
5/09/2026 23:14:08,"29,17","69,01","1020,79","88,79","27,18","79,82",0,0,"-0,08","0,32",0
5/09/2026 23:34:12,"28,99","67,46","1020,8","88,91","27,01","77,99",0,0,"-0,4","0,32",0
5/09/2026 23:54:16,"28,77","65,07","1020,77","89,01","26,68","76,04",0,0,"-0,28","0,33",0
6/09/2026 0:14:19,"28,54","63,43","1020,76","89,1","26,38","74,84",0,0,"-0,48","0,33",0
6/09/2026 0:34:23,"28,23","61,15","1020,76","89,28","26,09","71,12",0,0,"-0,68","0,33",0
6/09/2026 0:54:26,"28,01","60,16","1020,77","89,37","25,84",71,0,0,"-0,2","0,33",0
6/09/2026 1:14:30,"27,8","58,82","1020,74","89,25","25,6","69,21",0,0,"-0,28","0,34",0
6/09/2026 1:34:33,"27,54","58,11","1020,69","89,48","25,39","67,79",0,0,"-0,48","0,33",0
6/09/2026 1:54:40,"27,26","56,91","1020,61","89,4","25,12","66,55",0,0,"-0,08","0,34",0
6/09/2026 2:14:44,"27,05","58,48","1020,51","89,55","24,93","68,88",0,0,"-0,48","0,34",0
6/09/2026 2:34:48,"26,87","59,25","1020,42","89,63","24,84","69,53",0,0,"-0,2","0,34",0
6/09/2026 2:54:51,"26,71","60,47","1020,34","89,68","24,75","70,57",0,0,"-0,6","0,34",0
6/09/2026 3:14:55,"26,46","61,43","1020,24","89,64","24,53","70,88",0,0,"-0,2","0,34",0
6/09/2026 3:34:58,"26,1","65,03","1020,17","89,71","23,97","74,57",0,0,"-0,28","0,35",0
6/09/2026 3:55:01,"25,77","67,23","1020,1","89,72","23,74","76,71",0,0,"-0,2","0,35",0
6/09/2026 4:15:04,"25,48","68,89","1020,04","89,94","23,54","78,45",0,0,"-0,08","0,35",0
6/09/2026 4:35:07,"25,27","66,07","1019,96","89,79","23,49","75,94",0,0,"-0,2","0,35",0
6/09/2026 4:55:11,"25,11","65,46","1019,9","89,84","23,56","74,83",0,0,"-0,2","0,35",0
6/09/2026 5:15:14,"24,95","65,06","1019,82","90,03","23,34","74,64",0,0,"-0,4","0,35",0
6/09/2026 5:35:18,"24,82","63,62","1019,75","89,98","23,32","72,99",0,0,"-0,08","0,35",0
6/09/2026 5:55:21,"24,74","61,68","1019,65","89,99","23,19","71,3",0,0,"-0,4","0,35",0
6/09/2026 6:15:25,"24,68","60,44","1019,55","89,92","23,27","69,88",0,0,"-0,48","0,35",0
6/09/2026 6:35:30,"24,62","60,06","1019,46","90,05","23,26","69,03",0,0,"-0,28","0,37",0
6/09/2026 6:55:33,"24,63","58,55","1019,37","89,9","23,33","68,16","4,8",2,"-0,28","1,07",0
6/09/2026 7:15:38,"24,65","57,97","1019,33","89,9","23,57","67,04","322,2",147,"0,92","4,14",0
6/09/2026 7:35:41,"24,58","58,8","1019,31","89,95","23,22","67,77","2553,6",664,"5,12","11,03","0,06"
6/09/2026 7:55:45,"24,54","58,18","1019,33","89,9","23,26","67,23","6420,6",1501,"8,12","15,26","0,12"
6/09/2026 8:15:48,"24,68","55,35","1019,39","89,73","23,61","64,73","10314,6",2324,"16,32","15,26","0,25"
6/09/2026 8:35:52,"25,04","51,19","1019,48","89,49","24,5","61,01","12817,8",2812,"21,32","15,27","0,33"
6/09/2026 8:55:56,"25,42","49,81","1019,55","89,35","24,95","59,07","14625,6",3139,"24,92","15,26","0,38"
6/09/2026 9:16:00,"25,86","47,88","1019,64","89,32","25,54","58,31","16003,2",3408,"27,4","15,27","0,42"
6/09/2026 9:36:03,"26,27","46,88","1019,76","99,43","24,59","61,7","17484,6",4063,"32,12","15,27","0,49"
6/09/2026 9:56:07,"26,82","44,86","1019,87","99,13","25,7","57,24","19050,6",4768,"36,8","15,28","0,56"
6/09/2026 10:16:11,"27,55","43,17","1020,04","98,78","26,56","57,04","29441,4",12949,"45,12","15,28","0,69"
6/09/2026 10:36:14,"28,62","43,6","1020,2","98,4","27,71","58,59","40630,2",19462,"5,8","20,67","0,12"
6/09/2026 10:56:17,"29,61","37,56","1020,3","98,23","28,69","51,19","55576,2",26313,"44,52","20,71","0,92"
6/09/2026 11:16:21,"30,67","34,23","1020,36","97,96","29,74","47,29","72548,4",32124,77,"20,74","1,6"
6/09/2026 11:36:24,"31,66","34,24","1020,43","97,91","30,37","48,31","89702,4",37501,"110,8","20,76","2,3"
6/09/2026 11:56:28,"32,52","34,46","1020,49","97,63","30,75","48,18","106109,4",44111,"139,12","20,79","2,89"
6/09/2026 12:16:31,"33,28","34,82","1020,5","97,56","31,04","49,64",127275,50624,"158,52","20,8","3,3"
6/09/2026 12:36:35,"34,1","32,5","1020,49","97,4","31,35","47,9","145229,41",56769,181,"20,83","3,77"
6/09/2026 12:56:38,"34,7","34,84","1020,44","97,26","31,62","49,89","157285,8",58634,"198,12","20,85","4,13"
6/09/2026 13:16:42,"35,3","34,57","1020,39","97,06","31,96","51,05","157285,8",64364,202,"20,85","4,21"
6/09/2026 13:36:45,"35,85","34,15","1020,33","96,86","32,1","50,4","157285,8",69700,"208,8","20,86","4,36"
6/09/2026 13:56:48,"36,61","31,41","1020,27","96,61","32,31","49,35","157285,8",72341,"208,32","20,86","4,35"
6/09/2026 14:16:52,"37,2","31,8","1020,18","96,44","33,03","48,12","157285,8",74041,"203,72","20,87","4,25"
6/09/2026 14:36:55,"37,72","32,58","1020,1","96,4","33,24","49,75","157285,8",80516,8,"21,73","0,17"
6/09/2026 14:56:59,"38,12","32,32","1020,02","95,5","33,75","48,79","157285,8",84742,"191,72","20,87",4
6/09/2026 15:17:03,"38,47","31,71","1019,9","95,55","35,01","46,9","157285,8",91344,"199,72","20,88","4,17"
6/09/2026 15:37:08,"38,73","31,38","1019,78","95,72",36,"42,79","157285,8",82012,"195,32","20,88","4,08"
6/09/2026 15:57:12,"39,03","31,68","1019,65","95,67","36,2","44,37","157285,8",79696,"178,92","20,88","3,74"
6/09/2026 16:17:15,"38,97","35,36","1019,48","95,84","36,01","47,37","157285,8",82261,"180,8","20,88","3,78"
6/09/2026 16:37:19,"38,94","37,25","1019,35","95,82","35,59","49,03","157285,8",82769,"186,4","20,89","3,89"
6/09/2026 16:57:22,"38,83","38,08","1019,24","95,5","35,75","49,98","157285,8",78578,"188,2","20,9","3,93"
6/09/2026 17:17:26,"38,75","38,14","1019,11","95,04","36,36","49,86","157285,8",75507,"174,6","20,89","3,65"
6/09/2026 17:37:30,"38,35","40,74","1019,02","95,32","36,34","49,96","157285,8",73270,"178,72","20,9","3,74"
6/09/2026 17:57:38,"37,38","47,08","1018,99","96,31","34,23","53,31","77018,4",26447,"63,12","20,79","1,31"
6/09/2026 18:17:50,"36,5","49,16","1018,98","96,14","33,09","56,8",81588,28897,"80,72","20,8","1,68"
