soil_moisture_(%),env_temperature_(°C),env_humidity_(%),plants_temp_(°C),plants_hum_(%),light_intensity_(lux),power_(W),soil_moisture_baseline,max_anomaly_detected,label
84.99,27.81,78.06,27.14,86.88,0.0,0.0,52.18,36.21,FUNGI_ALERT_EXCESS_WATER
51.6,27.67,74.53,24.79,83.11,157285.8,5.21,58.7,29.3,OK
25.2,16.54,66.03,15.57,78.34,0.0,0.0,51.05,28.45,NOT_ABLE_TO_WATER
81.68,15.15,83.2,14.52,83.25,43312.62,1.03,77.4,29.11,LOW_TEMP_ALERT
69.33,42.22,51.15,40.24,51.81,0.0,0.0,71.31,31.37,NOT_ABLE_TO_VENTILATE
82.7,36.1,92.2,34.35,99.84,157285.8,4.93,93.17,30.6,OK
65.5,25.59,85.83,25.44,90.83,0.0,0.0,66.18,26.34,NIGHT_OK
27.6,31.95,32.12,27.99,44.2,0.0,0.0,13.06,28.29,NOT_ABLE_TO_WATER
41.2,25.54,86.34,23.78,79.64,58332.13,1.66,44.89,33.37,OK
56.55,16.36,62.13,11.4,53.85,91367.69,3.43,60.55,35.72,LOW_TEMP_ALERT
20.24,25.33,86.62,25.23,100.0,0.0,0.0,18.49,29.04,NOT_ABLE_TO_WATER
43.39,38.67,81.37,37.17,76.37,5600.35,0.47,35.43,27.94,NOT_ABLE_TO_VENTILATE
63.35,6.18,70.06,6.54,73.18,40943.41,0.09,60.49,31.76,LOW_TEMP_ALERT
18.72,10.1,17.54,9.1,37.34,5165.45,0.45,18.13,35.07,NOT_ABLE_TO_WATER
35.64,32.06,16.35,32.25,14.58,26528.23,0.58,89.92,27.14,NOT_ABLE_TO_WATER
62.91,18.13,64.92,17.92,65.0,0.0,0.0,65.71,27.41,NIGHT_OK
28.71,37.21,84.32,35.83,92.34,6082.87,0.17,29.75,28.6,NOT_ABLE_TO_WATER
36.78,10.87,30.62,7.11,38.45,6239.58,0.3,40.92,26.31,NOT_ABLE_TO_WATER
11.3,19.32,30.0,17.94,35.47,0.0,0.0,10.73,30.69,NOT_ABLE_TO_WATER
98.19,23.51,80.2,21.27,93.02,0.0,0.0,28.88,27.1,FUNGI_ALERT_EXCESS_WATER
14.81,33.94,45.81,34.55,45.86,0.0,0.0,23.78,28.28,NOT_ABLE_TO_WATER
16.7,12.14,93.11,12.54,98.58,113822.24,3.4,10.04,38.26,ANOMALY_DETECTED
26.01,44.7,24.85,43.2,17.48,0.0,0.0,23.73,29.88,NOT_ABLE_TO_WATER
99.05,38.27,74.61,38.82,82.93,12771.79,0.49,94.91,26.59,NOT_ABLE_TO_VENTILATE
74.9,40.55,31.75,39.88,27.71,7513.43,0.41,78.58,29.78,NOT_ABLE_TO_VENTILATE
35.88,41.9,44.19,43.06,40.77,0.0,0.0,44.58,32.61,NOT_ABLE_TO_WATER
12.03,25.05,88.68,21.09,89.49,0.0,0.0,10.56,31.19,NOT_ABLE_TO_WATER
80.92,16.33,81.72,11.94,85.54,0.0,0.0,56.15,31.08,FUNGI_ALERT_EXCESS_WATER
49.57,40.88,44.13,39.77,38.67,157285.8,5.15,52.52,31.53,VENTILATE
53.64,23.13,52.06,19.06,60.6,0.0,0.0,76.22,34.05,NOT_ABLE_TO_WATER
27.53,40.14,43.76,39.45,50.23,0.0,0.0,24.96,25.98,NOT_ABLE_TO_WATER
85.78,15.99,91.25,14.95,97.85,157285.8,6.82,83.89,36.87,LOW_TEMP_ALERT
21.7,36.01,22.54,37.41,39.11,7080.67,0.13,25.76,30.68,NOT_ABLE_TO_WATER
49.28,40.7,89.41,36.95,100.0,3882.29,0.23,66.51,25.41,NOT_ABLE_TO_WATER
43.02,43.0,68.96,42.41,64.73,8264.82,0.3,40.14,36.8,NOT_ABLE_TO_VENTILATE
89.31,18.14,70.86,15.49,82.27,19329.77,0.97,81.81,29.41,OK
55.04,32.97,31.52,32.22,22.04,0.0,0.0,59.41,34.67,NIGHT_OK
81.42,28.92,16.43,27.71,32.5,83889.34,2.38,80.78,29.3,OK
52.29,36.56,76.66,36.85,86.22,5753.83,0.24,18.07,24.03,FUNGI_ALERT_EXCESS_WATER
33.34,8.42,22.99,6.08,20.05,0.0,0.0,85.63,29.09,NOT_ABLE_TO_WATER
18.63,27.34,41.95,25.86,54.69,149767.92,5.75,53.58,28.79,WATER
51.91,28.92,78.32,26.46,93.67,0.0,0.0,59.7,24.48,NIGHT_OK
55.85,26.36,35.01,21.88,28.01,133687.12,4.9,44.01,29.25,EXCESS_WATER
41.15,42.31,17.11,38.97,19.31,96594.71,4.33,43.14,35.92,HYDRIC_STRESS_ALERT
17.48,30.01,15.34,27.8,16.83,147687.65,4.42,12.63,37.42,ANOMALY_DETECTED
88.59,40.55,28.25,39.88,37.98,0.0,0.0,49.7,34.08,FUNGI_ALERT_EXCESS_WATER
39.2,5.67,52.88,4.85,48.47,0.0,0.0,38.2,38.45,NOT_ABLE_TO_WATER
89.73,42.64,62.5,37.12,78.76,0.0,0.0,77.09,26.25,FUNGI_ALERT_EXCESS_WATER
55.68,35.45,39.49,34.47,35.31,68984.85,3.33,55.76,36.31,OK
17.6,31.37,89.15,26.9,94.29,157285.8,5.07,13.46,27.0,WATER
31.72,8.93,49.06,6.32,37.38,0.0,0.0,34.12,27.93,NOT_ABLE_TO_WATER
100.0,29.83,52.74,27.04,40.68,0.0,0.0,91.93,28.05,NIGHT_OK
35.34,5.66,90.09,6.92,100.0,0.0,0.0,40.38,29.95,NOT_ABLE_TO_WATER
83.99,28.57,31.09,25.85,38.84,7055.21,0.8,84.0,27.17,LOW_LIGHT
17.62,9.67,80.19,7.18,79.77,157285.8,5.52,83.75,29.2,WATER
96.44,43.5,24.79,40.37,20.42,0.0,0.0,69.94,37.67,FUNGI_ALERT_EXCESS_WATER
67.92,8.26,18.31,4.46,17.06,9147.35,0.63,63.47,37.82,ANOMALY_DETECTED
44.51,35.25,89.07,34.5,87.93,157285.8,5.55,42.41,24.0,OK
11.71,31.34,29.37,30.14,31.51,62553.67,2.43,13.98,30.53,WATER
81.08,37.83,79.82,35.34,87.13,139011.93,4.54,80.71,38.67,ANOMALY_DETECTED
51.22,8.67,27.79,13.67,38.37,0.0,0.0,55.06,30.91,LOW_TEMP_ALERT
63.06,6.56,20.61,4.36,36.67,157285.8,4.45,59.08,31.29,LOW_TEMP_ALERT
78.56,8.41,56.79,4.12,56.69,0.0,0.0,49.72,29.23,FUNGI_ALERT_EXCESS_WATER
77.87,41.17,88.65,39.04,84.57,0.0,0.0,75.54,29.71,NOT_ABLE_TO_VENTILATE
76.68,17.85,88.79,13.48,99.88,157285.8,5.68,60.48,34.04,FUNGI_ALERT_EXCESS_WATER
68.46,40.88,31.93,39.27,36.28,37632.32,0.7,82.13,34.66,NOT_ABLE_TO_WATER
62.63,40.47,51.8,38.37,46.93,73568.62,0.14,56.56,34.98,NOT_ABLE_TO_VENTILATE
18.32,20.27,73.01,19.28,66.07,157285.8,0.11,85.97,26.28,NOT_ABLE_TO_WATER
17.35,14.43,46.15,12.22,58.05,152937.57,5.37,24.01,24.0,WATER
4.35,28.42,75.79,29.07,86.54,0.0,0.0,41.02,31.32,NOT_ABLE_TO_WATER
81.69,5.17,19.87,2.6,34.28,0.0,0.0,78.06,36.8,LOW_TEMP_ALERT
59.6,25.62,51.18,22.24,48.63,0.0,0.0,67.81,24.54,NIGHT_OK
30.14,39.3,16.66,37.17,21.94,0.0,0.0,52.59,24.77,NOT_ABLE_TO_WATER
13.28,7.24,20.78,3.41,21.09,123771.7,4.72,16.95,27.7,WATER
41.5,25.61,47.53,21.14,38.31,45593.23,1.0,35.54,24.0,OK
8.5,10.36,70.25,7.76,79.5,0.0,0.0,11.82,32.02,NOT_ABLE_TO_WATER
97.76,26.21,68.5,25.16,84.79,157285.8,5.43,26.78,34.04,FUNGI_ALERT_EXCESS_WATER
6.81,20.29,88.85,17.69,85.14,0.0,0.0,10.87,35.57,NOT_ABLE_TO_WATER
64.18,26.42,15.26,23.96,25.53,0.0,0.0,66.39,25.97,NIGHT_OK
41.95,29.62,92.72,27.17,95.74,4021.18,0.09,37.63,34.35,LOW_LIGHT
15.97,22.53,16.57,18.42,24.04,156467.22,5.58,21.25,30.22,WATER
42.18,22.09,54.78,22.88,58.21,127461.46,4.06,40.68,30.41,OK
51.68,38.33,59.59,40.21,70.3,0.0,0.0,26.3,31.46,FUNGI_ALERT_EXCESS_WATER
47.61,36.06,68.64,37.3,68.6,0.0,0.0,42.11,38.93,NOT_ABLE_TO_VENTILATE
7.56,21.68,63.5,19.93,69.27,22605.14,0.96,19.03,36.56,NOT_ABLE_TO_WATER
61.62,40.88,71.24,39.31,73.03,157285.8,0.08,45.67,29.15,FUNGI_ALERT_EXCESS_WATER
71.08,11.51,50.56,10.2,60.19,74762.27,1.96,29.55,42.42,ANOMALY_DETECTED
98.08,27.0,40.79,27.78,39.4,8187.37,0.74,56.39,29.72,EXCESS_WATER
27.88,5.56,81.12,5.28,81.23,105645.48,4.49,33.47,35.23,WATER
17.98,42.72,58.93,42.41,45.2,157285.8,5.38,14.63,30.32,WATER
