soil_moisture_(%),env_temperature_(°C),env_humidity_(%),plants_temp_(°C),plants_hum_(%),light_intensity_(lux),power_(W),soil_moisture_baseline,label
12.0,31.84,25.6,31.26,58.07,93509.22,3.08,35.78,WATER
96.07,27.61,43.55,24.07,56.22,42182.92,1.68,72.52,EXCESS_WATER
35.61,43.48,61.85,40.92,74.55,7136.54,0.0,37.68,NOT_ABLE_TO_WATER
59.2,6.62,nan,7.78,56.55,157285.8,4.85,60.22,INSUFFICIENT_DATA
84.31,41.65,16.8,40.3,25.6,157285.8,4.78,85.34,HYDRIC_STRESS_ALERT
19.47,37.6,27.61,36.68,43.22,0.0,0.0,68.96,NOT_ABLE_TO_WATER
67.83,44.25,51.5,41.09,61.63,41219.97,0.97,30.77,EXCESS_WATER
43.42,20.63,85.82,19.32,93.31,0.0,0.0,40.91,OK
71.91,25.41,92.85,25.24,100.0,0.0,0.0,75.23,OK
71.68,15.03,92.53,11.74,93.51,152071.71,4.92,29.55,FUNGI_ALERT_EXCESS_WATER
83.78,26.19,77.53,23.65,78.64,16707.01,0.51,81.38,OK
84.16,16.52,55.16,14.09,70.56,157285.8,5.6,52.62,EXCESS_WATER
96.04,30.82,29.04,30.64,28.68,157285.8,5.42,16.99,EXCESS_WATER
74.36,20.51,21.56,18.81,13.79,134791.84,4.4,70.72,OK
77.64,14.15,51.3,13.47,60.35,157285.8,5.38,49.2,EXCESS_WATER
56.99,9.57,30.72,10.19,36.66,157285.8,5.66,56.82,LOW_TEMP_ALERT
26.41,40.34,82.85,39.89,86.65,0.0,0.0,82.63,NOT_ABLE_TO_WATER
80.48,31.8,46.85,28.12,51.21,157285.8,5.11,13.89,EXCESS_WATER
10.46,14.06,41.12,13.36,53.46,2715.44,0.1,45.6,NOT_ABLE_TO_WATER
33.6,11.09,29.48,8.8,35.15,47013.17,0.14,32.05,NOT_ABLE_TO_WATER
53.65,32.4,80.57,28.74,nan,157285.8,4.92,50.56,INSUFFICIENT_DATA
13.44,28.12,88.93,26.56,95.94,151245.77,5.69,15.02,WATER
64.08,36.26,20.81,38.3,28.57,157285.8,5.21,11.31,EXCESS_WATER
44.77,42.36,88.94,41.4,86.51,6888.1,0.49,40.83,NOT_ABLE_TO_VENTILATE
22.86,30.22,82.98,27.02,84.37,0.0,0.0,15.0,NOT_ABLE_TO_WATER
42.84,25.26,70.9,23.81,72.99,157285.8,5.84,38.39,OK
67.1,21.94,28.4,25.18,39.09,98401.73,4.08,63.58,OK
66.45,6.44,31.63,4.71,54.5,0.0,0.0,67.02,LOW_TEMP_ALERT
26.73,13.66,47.87,14.6,64.3,0.0,0.0,28.42,NOT_ABLE_TO_WATER
26.57,20.39,89.65,21.24,88.41,28127.56,0.41,66.12,NOT_ABLE_TO_WATER
70.56,12.04,72.67,13.39,73.53,157285.8,5.31,65.67,LOW_TEMP_ALERT
6.67,30.91,57.53,29.0,74.55,45882.66,2.09,82.41,WATER
19.63,12.54,91.31,9.26,89.71,0.0,0.0,19.07,NOT_ABLE_TO_WATER
26.23,18.13,48.61,17.12,46.43,31032.46,1.9,25.28,NOT_ABLE_TO_WATER
15.3,37.19,22.17,34.48,19.28,157285.8,5.59,93.71,WATER
62.89,18.58,84.78,16.52,94.06,3597.89,0.32,16.11,FUNGI_ALERT_EXCESS_WATER
82.49,23.97,78.58,26.61,87.62,47904.2,1.29,78.01,OK
45.48,16.37,63.94,15.56,54.96,157285.8,4.85,46.1,OK
1.98,43.11,53.58,39.42,66.22,4768.75,0.77,71.84,NOT_ABLE_TO_WATER
62.93,23.35,46.74,21.17,62.25,157285.8,5.99,63.18,OK
32.57,28.89,63.06,29.0,66.4,157285.8,4.84,81.65,WATER
43.48,17.64,20.01,16.42,28.63,0.0,0.0,30.17,OK
32.48,8.32,73.09,8.36,74.54,157285.8,5.48,37.2,WATER
75.64,16.61,46.43,14.46,50.41,157285.8,5.36,73.98,LOW_TEMP_ALERT
96.18,13.9,33.72,9.6,46.35,4934.19,0.62,53.19,EXCESS_WATER
81.29,36.92,92.26,37.22,100.0,0.0,0.0,81.1,NOT_ABLE_TO_VENTILATE
17.75,31.29,93.11,27.65,100.0,103664.35,3.23,17.78,WATER
31.48,19.78,35.73,16.11,27.23,157285.8,5.95,34.82,WATER
75.39,17.48,73.03,17.66,76.78,74073.68,2.67,36.18,FUNGI_ALERT_EXCESS_WATER
72.4,26.13,37.18,24.62,45.33,19013.67,0.0,22.06,EXCESS_WATER
47.31,18.55,33.13,17.97,30.25,113092.49,3.47,44.9,OK
74.95,17.8,34.74,18.61,32.88,49744.01,1.59,86.2,OK
18.4,25.99,81.74,24.87,87.99,6938.83,0.19,19.05,NOT_ABLE_TO_WATER
79.27,22.74,93.31,21.42,97.89,0.0,0.0,73.34,OK
58.52,11.49,82.98,8.7,84.23,0.0,0.0,57.99,LOW_TEMP_ALERT
96.91,17.1,58.42,13.48,63.81,47269.9,1.32,10.59,EXCESS_WATER
86.37,20.29,15.46,20.18,40.3,0.0,0.0,80.65,OK
24.6,34.36,nan,29.67,23.05,0.0,0.0,22.63,INSUFFICIENT_DATA
22.75,32.19,28.53,27.93,32.49,33911.19,1.1,29.27,NOT_ABLE_TO_WATER
67.77,30.81,61.39,29.46,49.12,91451.44,2.86,74.2,OK
47.79,7.35,63.8,1.75,63.63,0.0,0.0,42.73,LOW_TEMP_ALERT
77.79,31.09,67.66,30.28,64.77,157285.8,4.12,73.95,OK
73.73,12.6,73.54,13.18,84.33,157285.8,5.56,71.8,LOW_TEMP_ALERT
46.84,15.55,16.65,17.64,12.26,26700.53,0.53,82.29,NOT_ABLE_TO_WATER
83.04,11.6,79.44,10.14,86.37,157285.8,4.54,81.58,LOW_TEMP_ALERT
8.62,23.41,60.81,21.6,52.39,37199.7,1.86,11.88,NOT_ABLE_TO_WATER
64.51,33.66,46.47,32.65,50.18,0.0,0.0,64.29,OK
30.68,26.92,71.31,28.07,66.43,0.0,0.0,25.79,NOT_ABLE_TO_WATER
86.06,12.01,35.54,10.26,43.39,81238.42,2.15,83.48,LOW_TEMP_ALERT
59.11,42.94,67.5,42.89,88.16,0.0,0.0,62.21,NOT_ABLE_TO_VENTILATE
89.19,17.82,63.2,14.73,65.79,0.0,0.0,94.77,LOW_TEMP_ALERT
75.25,42.45,93.22,40.07,100.0,764.35,0.58,61.86,NOT_ABLE_TO_VENTILATE
55.87,31.71,45.93,26.4,60.53,8340.62,0.3,55.08,LOW_LIGHT
34.33,34.14,93.3,32.35,100.0,108746.82,0.03,58.01,NOT_ABLE_TO_WATER
42.52,21.98,34.99,22.71,45.62,754.73,0.36,34.33,LOW_LIGHT
82.27,40.1,71.57,40.25,85.88,6337.64,0.0,82.26,NOT_ABLE_TO_VENTILATE
37.17,20.59,28.58,19.69,35.87,6818.92,0.43,35.37,NOT_ABLE_TO_WATER
7.51,42.18,32.05,37.1,43.13,157285.8,6.06,76.21,WATER
36.82,5.31,47.61,4.94,64.54,157285.8,5.99,42.58,WATER
84.2,32.91,16.67,31.49,16.54,23277.02,0.36,83.98,OK
8.76,32.38,62.23,32.47,62.6,52836.94,1.97,10.13,NOT_ABLE_TO_WATER
86.21,32.36,24.85,30.14,33.51,157285.8,5.53,82.61,OK
37.98,32.39,36.54,31.58,44.78,9445.69,0.0,42.33,NOT_ABLE_TO_WATER
40.32,41.32,89.44,42.76,83.94,0.0,0.0,47.18,NOT_ABLE_TO_VENTILATE
88.43,37.58,89.32,36.8,86.04,4681.31,0.36,84.33,NOT_ABLE_TO_VENTILATE
12.85,10.09,22.06,11.52,32.55,157285.8,4.5,10.48,WATER
63.35,14.39,59.24,12.45,51.46,59592.33,2.64,69.98,LOW_TEMP_ALERT
32.49,12.49,88.34,7.61,83.23,157285.8,5.5,35.96,WATER
63.15,36.28,22.36,33.76,22.34,47806.68,2.22,61.73,OK
95.94,8.77,31.78,9.01,37.2,37062.69,1.17,65.96,EXCESS_WATER
59.23,11.93,75.85,9.61,79.75,63415.31,1.63,60.25,LOW_TEMP_ALERT
88.05,11.8,40.3,7.57,53.27,157285.8,5.43,87.71,LOW_TEMP_ALERT
62.05,9.26,74.37,7.95,71.56,122496.2,4.55,65.09,LOW_TEMP_ALERT
52.21,29.01,40.26,28.48,43.42,157285.8,5.78,56.28,OK
83.21,39.71,86.84,34.6,94.97,5576.4,0.67,19.42,FUNGI_ALERT_EXCESS_WATER
27.21,17.36,43.12,14.31,40.06,157285.8,5.91,25.88,WATER
47.03,18.13,35.69,18.42,47.81,157285.8,5.1,26.26,EXCESS_WATER
7.13,21.45,75.47,18.31,79.76,0.0,0.0,12.8,NOT_ABLE_TO_WATER
76.56,35.18,76.32,32.88,76.87,157285.8,5.2,73.17,OK
12.49,8.53,46.08,8.14,60.11,0.0,0.0,14.62,NOT_ABLE_TO_WATER
5.2,28.51,88.9,25.52,98.36,0.0,0.0,30.08,NOT_ABLE_TO_WATER
92.17,10.83,18.73,7.97,16.66,0.0,0.0,86.97,LOW_TEMP_ALERT
12.2,23.38,60.07,23.69,67.31,0.0,0.0,57.74,NOT_ABLE_TO_WATER
14.48,34.46,80.45,33.85,86.9,157285.8,4.7,20.5,WATER
93.82,29.29,20.17,24.12,17.52,157285.8,4.59,81.54,OK
62.51,21.42,34.07,17.25,38.46,7873.57,0.2,68.02,LOW_LIGHT
1.1,7.06,51.5,4.91,42.29,157285.8,5.65,35.15,WATER
50.65,43.85,33.98,41.26,39.95,157285.8,3.99,47.16,VENTILATE
15.05,26.72,30.15,29.33,28.25,63101.5,1.96,10.3,NOT_ABLE_TO_WATER
63.54,nan,55.55,14.53,57.79,23656.48,0.55,59.74,INSUFFICIENT_DATA
60.9,43.98,47.82,40.8,74.05,1667.85,0.0,59.48,NOT_ABLE_TO_VENTILATE
42.62,36.82,84.15,32.5,100.0,123897.87,4.26,77.91,WATER
64.07,10.01,52.67,13.05,71.07,157285.8,5.78,21.89,EXCESS_WATER
80.07,15.71,60.67,13.08,60.75,157285.8,4.86,71.38,LOW_TEMP_ALERT
43.06,34.8,25.73,35.08,21.17,157285.8,4.99,58.87,WATER
63.46,21.71,44.81,21.44,44.46,77917.09,3.01,65.15,OK
18.81,40.87,37.96,40.42,33.79,0.0,0.0,18.81,NOT_ABLE_TO_WATER
15.66,30.45,50.59,28.83,55.32,47950.14,0.8,81.76,NOT_ABLE_TO_WATER
13.58,9.43,85.8,5.48,94.5,157285.8,4.91,13.66,WATER
79.71,9.06,38.68,5.52,55.09,0.0,0.0,81.59,LOW_TEMP_ALERT
60.95,7.64,82.81,4.83,86.54,0.0,0.0,10.53,FUNGI_ALERT_EXCESS_WATER
96.32,23.24,32.47,20.63,36.69,13413.45,0.29,28.62,EXCESS_WATER
96.24,20.42,59.65,17.68,63.66,0.0,0.0,91.98,OK
85.25,36.74,60.08,36.85,56.95,37684.77,1.33,83.38,NOT_ABLE_TO_VENTILATE
89.09,41.03,67.76,40.7,67.72,0.0,0.0,92.54,NOT_ABLE_TO_VENTILATE
32.97,6.34,34.44,3.64,45.44,0.0,0.0,91.97,NOT_ABLE_TO_WATER
90.98,9.58,29.59,8.26,44.94,0.0,0.0,93.93,LOW_TEMP_ALERT
66.3,30.82,90.32,31.26,96.96,27501.44,0.03,74.0,OK
66.89,11.63,37.5,7.64,39.27,40402.6,1.06,56.19,LOW_TEMP_ALERT
82.26,25.68,85.75,24.39,76.65,0.0,0.0,27.68,FUNGI_ALERT_EXCESS_WATER
29.95,14.92,32.05,14.16,25.9,0.0,0.0,71.33,NOT_ABLE_TO_WATER
22.76,13.87,66.02,10.06,84.27,157285.8,5.16,87.91,WATER
96.65,8.64,75.74,8.03,85.21,48207.65,1.87,91.28,LOW_TEMP_ALERT
57.29,30.76,78.54,27.82,89.56,0.0,0.0,56.76,OK
70.34,nan,23.96,37.57,15.22,0.0,0.0,70.67,INSUFFICIENT_DATA
11.43,28.04,48.67,27.92,54.5,0.0,0.0,33.21,NOT_ABLE_TO_WATER
72.68,35.64,74.5,31.31,82.1,157285.8,5.62,83.81,OK
58.88,44.96,90.72,41.12,91.58,0.0,0.0,55.16,NOT_ABLE_TO_VENTILATE
82.89,27.84,94.8,24.36,100.0,65921.49,2.74,88.14,OK
74.16,30.32,62.48,28.0,80.1,0.0,0.0,79.52,OK
87.88,39.5,69.22,36.5,80.98,157285.8,5.78,81.42,VENTILATE
55.76,27.84,70.27,25.11,67.01,157285.8,5.7,18.11,FUNGI_ALERT_EXCESS_WATER
4.43,35.18,73.16,34.29,81.45,157285.8,4.84,63.45,WATER
38.7,5.28,46.95,2.28,68.23,157285.8,4.93,39.51,WATER
29.02,29.34,36.93,28.23,37.92,34728.89,1.67,25.28,NOT_ABLE_TO_WATER
88.32,41.85,61.29,43.98,57.88,15074.89,0.2,35.47,EXCESS_WATER
21.51,41.45,59.44,39.21,62.17,0.0,0.0,18.5,NOT_ABLE_TO_WATER
73.0,39.19,58.97,37.44,73.01,87898.95,0.1,70.33,NOT_ABLE_TO_VENTILATE
62.99,10.21,31.04,9.67,26.59,157285.8,5.48,68.29,LOW_TEMP_ALERT
19.45,39.22,36.9,38.2,40.18,139110.76,4.58,43.91,WATER
27.17,7.15,91.39,2.36,89.64,71088.74,2.42,22.67,WATER
86.18,5.4,24.41,0.05,34.24,157285.8,5.07,83.86,LOW_TEMP_ALERT
78.93,10.81,69.28,9.69,58.18,37195.68,1.24,77.44,LOW_TEMP_ALERT
29.37,6.19,28.5,3.75,25.22,0.0,0.0,33.31,NOT_ABLE_TO_WATER
99.43,7.51,57.58,6.42,69.1,108293.01,3.63,77.29,EXCESS_WATER
43.87,37.0,86.16,34.52,83.35,157285.8,5.97,48.2,OK
88.71,6.79,90.37,4.83,100.0,0.0,0.0,79.5,LOW_TEMP_ALERT
83.28,5.98,72.66,3.16,92.5,0.0,0.0,73.36,LOW_TEMP_ALERT
25.08,9.43,67.93,8.17,74.48,100314.24,3.75,15.56,WATER
89.61,20.47,61.3,20.4,62.25,0.0,0.0,88.84,OK
81.53,21.28,45.21,20.81,nan,0.0,0.0,75.19,INSUFFICIENT_DATA
8.54,12.09,88.01,12.03,100.0,0.0,0.0,55.8,NOT_ABLE_TO_WATER
45.23,21.11,85.23,20.31,92.06,0.0,0.0,43.72,OK
32.7,14.24,56.69,10.97,53.26,157285.8,5.85,25.31,WATER
32.02,10.56,80.69,10.13,87.72,44427.91,1.14,16.45,NOT_ABLE_TO_WATER
92.4,25.0,52.18,26.64,63.71,138314.6,4.23,90.57,OK
31.04,35.39,20.44,34.77,28.93,0.0,0.0,16.44,NOT_ABLE_TO_WATER
25.78,30.48,24.08,29.83,37.93,15522.76,0.66,68.42,NOT_ABLE_TO_WATER
45.75,37.25,79.19,33.07,84.4,157285.8,4.72,12.31,FUNGI_ALERT_EXCESS_WATER
80.95,5.64,15.52,6.79,32.69,24662.96,0.85,78.93,LOW_TEMP_ALERT
32.33,21.54,18.02,22.48,23.33,5843.26,0.41,71.46,NOT_ABLE_TO_WATER
57.08,40.71,32.33,38.03,34.27,157285.8,4.77,62.54,VENTILATE
58.62,28.65,73.37,23.84,57.38,0.0,0.0,59.53,OK
35.9,29.93,56.55,25.79,59.59,157285.8,6.23,33.85,WATER
89.14,26.01,43.95,28.37,62.9,157285.8,5.5,94.82,OK
49.15,14.01,40.64,11.62,44.3,157285.8,4.7,47.08,LOW_TEMP_ALERT
21.17,44.02,42.37,40.27,46.36,7505.6,0.0,18.49,NOT_ABLE_TO_WATER
92.25,31.7,79.8,27.38,85.66,157285.8,5.96,89.69,OK
53.0,28.17,30.25,26.39,24.83,157285.8,5.53,55.44,OK
60.38,33.41,29.24,33.83,31.0,2049.54,0.69,65.16,LOW_LIGHT
25.56,22.09,30.64,21.25,34.14,0.0,0.0,72.29,NOT_ABLE_TO_WATER
3.0,37.62,34.41,34.36,27.57,0.0,0.0,60.6,NOT_ABLE_TO_WATER
52.92,15.44,93.53,14.74,90.2,111144.27,2.98,61.8,LOW_TEMP_ALERT
6.77,44.19,61.31,44.2,77.24,29533.02,1.38,34.17,NOT_ABLE_TO_WATER
67.91,27.03,38.24,28.76,32.89,0.0,0.0,72.4,OK
18.22,41.34,17.51,39.97,30.79,0.0,0.0,17.08,NOT_ABLE_TO_WATER
